Borough,ch4_total,co_total,co2_total,nmvoc_total,nox_total,pm10_total,pm25_total,pm25_domestic,pm25_industrial,pm25_misc,pm25_resuspension,pm25_transport,traffic_volume_total,traffic_hgv_volume,traffic_distance_total,traffic_hgv_distance_total,traffic_speed_weighted,pm25_concentration_mean
Greenwich,351.96379770804884,417.3592223867664,626182.5726151941,325.97867537024996,1022.0200445601204,256.92358395831263,115.23136803707104,26.278294395233395,43.09784811095943,3.1957371338,1.6486580031,41.0108303939782,25577733.0,1125737.0,964017540.0,46198302.0,34.136970152906045,10.647269481566747
Hackney,280.06729526156823,240.82197112958772,419137.02359476377,131.0361876740346,517.2249154415006,117.20625007892787,55.96996301328518,11.933643591190117,23.905821369984494,1.9101008726,0.752027565872,17.46836961363857,15610922.0,712909.0,346706081.0,15904208.0,21.727671498198504,11.352945733945917
Hammersmith and Fulham,385.7519781795903,232.83195882795528,442383.9891546039,140.082604752206,580.1923395562812,141.5461121781621,60.478756081372275,13.5119653184277,26.759350475267762,1.2431285380000001,0.7116411322,18.252670617476813,15189585.0,631589.0,413101694.0,17292366.0,27.817286449893135,11.345351091146378
Haringey,312.2653050023515,297.8999709212962,480291.1750936622,84.4261999279445,569.8081057063782,125.84412012370404,63.39607347045742,22.856464110725476,15.17405831163874,2.1712183476,0.77589082811,22.418441872383198,21010802.0,772653.0,449891869.0,16443508.0,25.919685550318356,10.813381290710723
Harrow,526.9730774491903,499.3140200687091,511928.9048430811,213.6132409270925,583.6258608000728,173.70585131525334,80.46997266720139,31.091869823518564,21.509655373302827,1.4942127168,0.7118174596,25.66241729398,24277269.0,604427.0,570094023.0,15054045.0,27.93617717050464,10.069214480274212
Havering,1315.012055326948,563.9896419466855,770761.3154432541,327.091893105518,1189.3587923110445,283.06294136202786,121.35768728366307,37.36626939013409,26.73925855465701,2.895376808,3.321127202533,51.03565532833896,26423122.0,1293629.0,1668359210.0,157453412.0,37.55809578444212,9.583969215617723
Hillingdon,1082.6515796966648,4428.043738586092,1819009.5628433446,1373.4282441041726,4610.641597070182,629.7945822368691,247.13424416460197,34.01203025328339,98.14529681185634,3.9554358668,2.7904579062151,108.23102332644716,38087574.0,1410215.0,1871327636.0,95009861.0,39.910888758627685,9.943619415925287
Hounslow,3879.2847458036867,567.3960740944962,799400.9183976284,318.0803897494061,1972.6675054686687,435.10782878953955,131.38163528152214,25.91610009109741,50.20571298768414,2.8116817752,1.82685049044,50.621289937100606,33263891.0,1189397.0,1311398960.0,52825471.0,35.33358671118781,10.441706357406897
Islington,367.92054813372187,247.65121533419,433955.3252365038,130.510351102146,548.1307217495422,106.6916890451867,56.89051488440826,10.26017643199138,30.13442800206688,1.59264668,0.56529712668,14.33796664367,13724474.0,546891.0,259860946.0,10128616.0,20.242587803364994,11.776792141261339
Kensington and Chelsea,326.83567526041804,245.602538971926,482200.9252314505,108.9422156248582,613.457685175466,108.96408125443038,60.60109603244178,10.5979980087839,30.93172734554888,1.041460817,0.660505358,17.369404503109,17986459.0,598987.0,383799155.0,13445100.0,22.247698615942138,11.856577308685825
Kingston,244.25604587466836,304.150895744744,394821.2035451583,135.1888199563543,584.9296230248673,162.86450230177044,69.3849746169325,20.439039668909338,21.80250087720246,1.0705982682,0.76589719653,25.3069386060907,19289029.0,421514.0,676417889.0,18196363.0,34.17101773241152,10.113338864554583
Lambeth,356.7659266512766,311.2004192667929,617377.4746603001,193.5980063088277,729.9813025607132,173.5907337181094,74.37394661365119,19.68049312604689,26.7573165853266,2.082643899,1.05799824912,24.7954947541577,23630796.0,1041368.0,493880505.0,21281832.0,25.558356646132445,11.172996871395236
Lewisham,314.43631436754873,302.6216126176169,878010.1147266148,180.66796179543357,1155.9337440167221,127.09001520730892,70.85904935910351,27.70402164930362,15.610116804930293,2.38042776,0.92808648347,24.236396661399596,21106783.0,945806.0,462392158.0,20757886.0,25.42251701739673,10.650621198914866
Merton,285.1838317977029,309.59795616063457,443607.61337991257,235.68793913855768,558.9409341397525,137.33817867535413,73.56012727522999,25.72552499343393,22.30826534040765,1.2791450138,0.776570373,23.4706215545884,17922076.0,663648.0,503926281.0,19191155.0,27.54530178311932,10.512604415987747
Newham,6426.416667222617,580.2975088758878,760493.8246355002,317.7184587876623,1229.5523092073922,388.3126730412871,121.318747289618,25.627097307518746,55.43925274173481,2.9556740692,1.408999557705,35.88772361345944,21413960.0,1101031.0,722880787.0,47543636.0,32.72797885117932,11.018447540791938
Redbridge,433.9682872604127,377.729516012948,617455.7561720512,221.88725288423984,815.9771940159653,193.22620366742103,99.83447489132254,35.39371169077568,19.643737389387447,2.5397820932,1.487768693253,40.76947502470641,28722348.0,922534.0,1107977144.0,49565959.0,31.888973004574694,10.339207329923056
Richmond,556.2668328037765,377.872619456934,503206.6290342335,241.4935524804013,752.9237683099802,181.57341165020475,77.40140329236785,24.723292283199783,24.154382576040156,1.2883921680000001,0.797520758618,26.43781550650991,20034004.0,599409.0,559304244.0,17086809.0,31.10722898927244,10.185836925810229
Southwark,371.9916040889196,338.12375618356634,596438.7010416015,201.98751256883907,851.926511666063,163.90431731266906,75.58836634966303,14.581647817597702,32.72691710788533,2.396190481,0.9486516904,24.93495925278,20968744.0,844283.0,446981446.0,16967478.0,22.85957513716606,11.212032462507858
Sutton,953.5004283813801,394.70568718811,662031.5703850553,190.74530672395,765.8389456649029,142.26389620831603,73.02084447818932,24.74605655286572,25.8118054777896,1.6345657634,0.5725026756,20.255914008534,15230880.0,373127.0,414014839.0,10340279.0,28.94620862353324,10.07994407341232
Tower Hamlets,337.33042830149617,439.3213005278476,545212.849200799,170.2522935554813,1052.6293118403075,235.03573481988994,103.63931552204414,6.66806826886838,62.027576935115775,2.812861673,1.156785387,30.97402325806,24864982.0,1534835.0,604361866.0,38123228.0,29.692954292104453,11.666493000908805
Waltham Forest,332.099237691579,316.31475412821,499470.9632971187,271.603466897172,627.257452106651,142.5376516964571,75.54704604131994,29.990427502663824,13.567561039774528,2.6101434282000002,1.07935736829,28.2995567023916,20347996.0,704239.0,705901389.0,30445410.0,30.094127844334153,10.628530728861772
Wandsworth,412.1872797031379,365.06110537823184,635089.7453504888,218.7207326576234,767.0532570958945,183.05467504804295,91.06645092307078,25.348474660457835,34.723363594187134,2.072815238,1.01174519889,27.9100522315358,23310940.0,1043404.0,582893107.0,24678570.0,26.596185524908048,10.936774764225426
